,enrollment_id,username,course_id,user,course
389,1124,61ysO1Pg5Q6bsn73gkzoQt72GbhUHgNd,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,user1,Quản lý dự án phần mềm
437,1248,T6EWQ7jVP89JlHzj41KN1gEtGYevpSQM,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,user2,Kiểm thử và đảm bảo chất lượng phần mềm
563,1585,k3YRNSEUtBfnCzCI2ffYAi1qqoCc9d8W,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,user3,Kiểm thử và đảm bảo chất lượng phần mềm
619,1736,UaSh8dwx8gnofYbXlmpqj9uYDbpJ89pX,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,user4,Kiểm thử và đảm bảo chất lượng phần mềm
628,1758,yZ9FndAKqVsKwZtO1B2JJJblefdbhZ02,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,user5,Quản lý dự án phần mềm
665,1845,oaoj9be4jW2Hot8wYgYrzLRvB0RU4KYy,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,user6,Lập trình mạng
679,1888,lbgTV2YMskSv2TX4EXpaazpMVWfsftEV,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,user7,Lập trình mạng
680,1891,s6iksgptFmyh2vfiarKdJkiKnp6RLi3f,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,user8,Lập trình mạng
710,1967,viuKt4GgrX0rYL5EpHoxJbsiC9TblSuk,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6,user9,Chương trình dịch
718,1980,viuKt4GgrX0rYL5EpHoxJbsiC9TblSuk,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ,user9,Phát triển ứng dụng Web
766,2109,HAAyQYNYY3ULmqhNC56bxv5FSwyMVoqP,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6,user10,Chương trình dịch
777,2148,Hoitr98hXhrf7xDGgACEFamKhiarA3wg,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv,user11,Thiết kế giao diện người dùng
778,2153,3IgwuZBiVdgdYRQ9ySaEvpMizbjCJFS0,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6,user12,Chương trình dịch
779,2156,oNf6qoW6E6dhoPJKSUjvElFlUKN9drLY,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv,user13,Thiết kế giao diện người dùng
842,2304,dNx7yBBYuWpRM4BeMNLD1yOnUwcueGfB,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv,user14,Thiết kế giao diện người dùng
851,2327,ZFpXjzvya7Y5x9HmUsgToer6v1L16WM2,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv,user15,Thiết kế giao diện người dùng
882,2439,CUbueK74RGsaWBcRtztdoMN84Z7TxEjm,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv,user16,Thiết kế giao diện người dùng
918,2549,HbDaABEakQmE8DQEoFoIphu2SH13rFRy,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv,user17,Thiết kế giao diện người dùng
920,2560,oJ9j9ejTgKixczg3tSE8Sg8DPI7YQpJq,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6,user18,Chương trình dịch
927,2579,FcPFK6OTsUF1j3uNGabdzGTvbY8kcO3D,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ,user19,Phát triển ứng dụng Web
939,2606,hjUSUM6roI2mLGkMAqBjE0uxFRBSMYHJ,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6,user20,Chương trình dịch
