course,Thiết kế giao diện người dùng,Kiểm thử và đảm bảo chất lượng phần mềm,Kiến trúc phần mềm,Phân tích và thiết kế hướng đối tượng,Quản lý dự án phần mềm,Giải tích,Tư duy toán học,Đại số tuyến tính,Toán ứng dụng,Cơ sở kinh doanh,Thị trường tài chính,Trí tuệ nhân tạo,Chương trình dịch,Xử lý ảnh,Học máy,Nhập môn tiếng Nhật,Tiếng Anh giao tiếp,Lập trình mạng,Phát triển ứng dụng Web,Quản trị mạng,edf123,abc
Thiết kế giao diện người dùng,1,0.24690371547564,0.39163672977991,0.36067304080284,0.14468266641868,0.26976265123978,0.40281273159514,0.1988719382231,0.15074646946564,0.31611250513931,0.23994820424404,0.1874737472296,0.26132560565701,0.2163563402494,0.28951171536954,0.26518129064683,0.20065056412349,0.29147582178254,0.39744131673541,0.38396622826401,0,0
Kiểm thử và đảm bảo chất lượng phần mềm,0.24690371547564,1,0.14282476427583,0.37480929434441,0.48927253318165,0.24225261539918,0.28006429121495,0.14832688807799,0.22447128113424,0.2947866317726,0.28897772086316,0.28684609878722,0.11444047710071,0.29489785853535,0.11061347270553,0.17557921855438,0.17554659312638,0.20413916193865,0.10411690469161,0.10731019511232,0,0
Kiến trúc phần mềm,0.39163672977991,0.14282476427583,1,0.25153395277121,0.1745854605359,0.15716695296728,0.21816121359136,0.16214720227142,0.11752157405502,0.24825723432161,0.099263967507074,0.076879847669145,0.27154965263118,0.092404334595759,0.29895552512482,0.16581875305907,0.15643482765721,0.32794858396373,0.26730808010993,0.38797940965889,0,0
Phân tích và thiết kế hướng đối tượng,0.36067304080284,0.37480929434441,0.25153395277121,1,0.40492633373204,0.34743879120951,0.44130947355773,0.29181608022896,0.27996896303679,0.3051967120059,0.36863244122832,0.26434295625981,0.26183721203748,0.39204032742631,0.17616076953725,0.31799679722463,0.24323422086891,0.18350148218929,0.26874399786088,0.16085776487862,0,0
Quản lý dự án phần mềm,0.14468266641868,0.48927253318165,0.1745854605359,0.40492633373204,1,0.34685037579953,0.28041260852833,0.25384420422858,0.22990856500159,0.31350546879027,0.30870712887004,0.22416689693978,0.17190231299385,0.18341948770545,0.16603798154594,0.22782528043774,0.20538270364679,0.17056030743302,0.12812961995435,0.054738352789951,0,0
Giải tích,0.26976265123978,0.24225261539918,0.15716695296728,0.34743879120951,0.34685037579953,1,0.3818963356948,0.24662649296184,0.25165507709437,0.40503879880332,0.43856368164104,0.26444510352031,0.16029604514198,0.34036195516155,0.10357276813749,0.32611127777092,0.33914826262413,0.2239903514074,0.13295812514249,0.12605589882375,0,0
Tư duy toán học,0.40281273159514,0.28006429121495,0.21816121359136,0.44130947355773,0.28041260852833,0.3818963356948,1,0.30468290651305,0.28536094564445,0.38290279616151,0.36934676197366,0.24395312753294,0.26246963706798,0.31861761740337,0.29151453437644,0.26464508952556,0.27102532149568,0.26738694269954,0.26845153619667,0.26992919188281,0,0
Đại số tuyến tính,0.1988719382231,0.14832688807799,0.16214720227142,0.29181608022896,0.25384420422858,0.24662649296184,0.30468290651305,1,0.34603590357284,0.25409042866727,0.27610975572524,0.39357122226805,0.21207441597892,0.23831542939874,0.13016474780101,0.26133664901508,0.3464471831794,0.16170611785995,0.18427663818583,0.1033307212401,0,0
Toán ứng dụng,0.15074646946564,0.22447128113424,0.11752157405502,0.27996896303679,0.22990856500159,0.25165507709437,0.28536094564445,0.34603590357284,1,0.23751537488561,0.21345621325961,0.22686992220288,0.24984698863452,0.21508499751848,0.091866048519276,0.29104643025486,0.16980603785765,0.24776223028215,0.10921577647222,0.11919148958148,0,0
Cơ sở kinh doanh,0.31611250513931,0.2947866317726,0.24825723432161,0.3051967120059,0.31350546879027,0.40503879880332,0.38290279616151,0.25409042866727,0.23751537488561,1,0.3915658590744,0.18069274252807,0.090803333322712,0.22315649808413,0.16273016501428,0.18524301713328,0.25191575515028,0.13208130249455,0.15601798394297,0.22547218120117,0,0
Thị trường tài chính,0.23994820424404,0.28897772086316,0.099263967507074,0.36863244122832,0.30870712887004,0.43856368164104,0.36934676197366,0.27610975572524,0.21345621325961,0.3915658590744,1,0.22655591405591,0.22318497871894,0.3682455324529,0.070262543164032,0.28500716733076,0.14554137545914,0.074672817835875,0.10470615998067,0.16538955040257,0,0
Trí tuệ nhân tạo,0.1874737472296,0.28684609878722,0.076879847669145,0.26434295625981,0.22416689693978,0.26444510352031,0.24395312753294,0.39357122226805,0.22686992220288,0.18069274252807,0.22655591405591,1,0.22320605149086,0.32647290530023,0.1014307993503,0.31251346012927,0.23465083158575,0.1818867313298,0.17504113776335,0.060332198824751,0,0
Chương trình dịch,0.26132560565701,0.11444047710071,0.27154965263118,0.26183721203748,0.17190231299385,0.16029604514198,0.26246963706798,0.21207441597892,0.24984698863452,0.090803333322712,0.22318497871894,0.22320605149086,1,0.19288828140302,0.37613474180278,0.28124114578079,0.10608675846406,0.28018448555566,0.38996533151598,0.23519013034028,0,0
Xử lý ảnh,0.2163563402494,0.29489785853535,0.092404334595759,0.39204032742631,0.18341948770545,0.34036195516155,0.31861761740337,0.23831542939874,0.21508499751848,0.22315649808413,0.3682455324529,0.32647290530023,0.19288828140302,1,0.14870002110814,0.32013946509884,0.20901845145573,0.15118451691253,0.2270030445298,0.11193814981551,0,0
Học máy,0.28951171536954,0.11061347270553,0.29895552512482,0.17616076953725,0.16603798154594,0.10357276813749,0.29151453437644,0.13016474780101,0.091866048519276,0.16273016501428,0.070262543164032,0.1014307993503,0.37613474180278,0.14870002110814,1,0.14733660425665,0.12643579326423,0.27171235794076,0.40275640618309,0.24470547905628,0,0
Nhập môn tiếng Nhật,0.26518129064683,0.17557921855438,0.16581875305907,0.31799679722463,0.22782528043774,0.32611127777092,0.26464508952556,0.26133664901508,0.29104643025486,0.18524301713328,0.28500716733076,0.31251346012927,0.28124114578079,0.32013946509884,0.14733660425665,1,0.33987948663883,0.18420904424939,0.27999876956232,0.11959100018157,0,0
Tiếng Anh giao tiếp,0.20065056412349,0.17554659312638,0.15643482765721,0.24323422086891,0.20538270364679,0.33914826262413,0.27102532149568,0.3464471831794,0.16980603785765,0.25191575515028,0.14554137545914,0.23465083158575,0.10608675846406,0.20901845145573,0.12643579326423,0.33987948663883,1,0.078215069911713,0.1389494493652,0.11116195287886,0,0
Lập trình mạng,0.29147582178254,0.20413916193865,0.32794858396373,0.18350148218929,0.17056030743302,0.2239903514074,0.26738694269954,0.16170611785995,0.24776223028215,0.13208130249455,0.074672817835875,0.1818867313298,0.28018448555566,0.15118451691253,0.27171235794076,0.18420904424939,0.078215069911713,1,0.30833210956885,0.18234546334754,0,0
Phát triển ứng dụng Web,0.39744131673541,0.10411690469161,0.26730808010993,0.26874399786088,0.12812961995435,0.13295812514249,0.26845153619667,0.18427663818583,0.10921577647222,0.15601798394297,0.10470615998067,0.17504113776335,0.38996533151598,0.2270030445298,0.40275640618309,0.27999876956232,0.1389494493652,0.30833210956885,1,0.29510384233733,0,0
Quản trị mạng,0.38396622826401,0.10731019511232,0.38797940965889,0.16085776487862,0.054738352789951,0.12605589882375,0.26992919188281,0.1033307212401,0.11919148958148,0.22547218120117,0.16538955040257,0.060332198824751,0.23519013034028,0.11193814981551,0.24470547905628,0.11959100018157,0.11116195287886,0.18234546334754,0.29510384233733,1,0,0
edf123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
