course,Thiết kế giao diện người dùng,Kiểm thử và đảm bảo chất lượng phần mềm,Kiến trúc phần mềm,Phân tích và thiết kế hướng đối tượng,Quản lý dự án phần mềm,Giải tích,Tư duy toán học,Đại số tuyến tính,Toán ứng dụng,Cơ sở kinh doanh,Thị trường tài chính,Trí tuệ nhân tạo,Chương trình dịch,Xử lý ảnh,Học máy,Nhập môn tiếng Nhật,Tiếng Anh giao tiếp,Lập trình mạng,Phát triển ứng dụng Web,Quản trị mạng,abc
Thiết kế giao diện người dùng,1,0.39709096259962,0.50885239168429,0.49202645342773,0.33057359280139,0.31822917129225,0.43348029450678,0.27501404207316,0.22033341304015,0.27233689905258,0.22003134464667,0.32965097318386,0.38860324062621,0.3527065114518,0.4111028108918,0.23168104228934,0.18016937109704,0.40836729547462,0.49725764653375,0.48650115324718,0.1
Kiểm thử và đảm bảo chất lượng phần mềm,0.39709096259962,1,0.31473357211793,0.50087198988657,0.59035205945138,0.29342105891479,0.32364851541578,0.21827758971168,0.27957702490739,0.25582930541808,0.2516929987564,0.40947687902978,0.27155238168057,0.41591828682828,0.26849077816442,0.1604633748435,0.1604372745011,0.34407909303406,0.26329352375329,0.26584815608986,0.1
Kiến trúc phần mềm,0.50885239168429,0.31473357211793,1,0.39820626325171,0.34928963439498,0.22120132900152,0.28259736438965,0.2401048438296,0.19440708731866,0.21942927574401,0.099916635340847,0.24175889448645,0.39814047312964,0.25422997994155,0.42015607850555,0.15320503596888,0.14566676844712,0.43760547123744,0.39473314549127,0.49167048518563,0.1
Phân tích và thiết kế hướng đối tượng,0.49202645342773,0.50087198988657,0.39820626325171,1,0.52766088799102,0.38132527131607,0.45646015070475,0.33730505090687,0.32474047545351,0.26499163556941,0.31367236941936,0.39219695579188,0.3901855108739,0.49470391798809,0.32141015729967,0.2752666932283,0.21525226600729,0.32315432958666,0.39572981947501,0.30912592227039,0.1
Quản lý dự án phần mềm,0.33057359280139,0.59035205945138,0.34928963439498,0.52766088799102,1,0.39077783959298,0.32685367053498,0.30660938166422,0.28342595536742,0.27012134769911,0.26323606687417,0.3588451301614,0.31714733068143,0.3263359782405,0.3124686420105,0.2017638665217,0.18385870022762,0.326752652773,0.28222454283436,0.22367142501049,0.1
Giải tích,0.31822917129225,0.29342105891479,0.22120132900152,0.38132527131607,0.39077783959298,1,0.51623271277767,0.41218473496135,0.4009282393615,0.42339396310343,0.45858605388079,0.31114014337243,0.22798471025844,0.37175421686646,0.18269530735459,0.26037608950711,0.27078517182479,0.27456324974022,0.20615737342612,0.20064644871953,0
Tư duy toán học,0.43348029450678,0.32364851541578,0.28259736438965,0.45646015070475,0.32685367053498,0.51623271277767,1,0.44637532979365,0.42787821886954,0.40577136963292,0.3926706470463,0.29481153619082,0.30959810483985,0.35443571120205,0.33279223692738,0.21133533706743,0.21643034365302,0.32268618098876,0.31437501821818,0.31555501692158,0
Đại số tuyến tính,0.27501404207316,0.21827758971168,0.2401048438296,0.33730505090687,0.30660938166422,0.41218473496135,0.44637532979365,1,0.47593306351023,0.30261466994286,0.3167348583304,0.41383828079282,0.26911061161285,0.29003550162508,0.20379488732506,0.20839289052285,0.2762610226631,0.24049038192891,0.246944339541,0.18239712172093,0
Toán ứng dụng,0.22033341304015,0.27957702490739,0.19440708731866,0.32474047545351,0.28342595536742,0.4009282393615,0.42787821886954,0.47593306351023,1,0.29001229990849,0.27114229431106,0.2814959377623,0.29987759090762,0.27206799801478,0.17349283881542,0.23283714420389,0.13584483028612,0.29914161323445,0.18737262117778,0.19535319166518,0
Cơ sở kinh doanh,0.27233689905258,0.25582930541808,0.21942927574401,0.26499163556941,0.27012134769911,0.42339396310343,0.40577136963292,0.30261466994286,0.29001229990849,1,0.51394485301007,0.16455419402246,0.09264266665817,0.1985251984673,0.15018413201142,0.32819441370662,0.38153260412022,0.12616179724778,0.14481438715438,0.20037774496094,0
Thị trường tài chính,0.22003134464667,0.2516929987564,0.099916635340847,0.31367236941936,0.26323606687417,0.45858605388079,0.3926706470463,0.3167348583304,0.27114229431106,0.51394485301007,1,0.20164521111462,0.19894250408757,0.3152473686823,0.076334236692364,0.40850953723591,0.29669037191703,0.080151716006208,0.10395001566808,0.1526039972261,0
Trí tuệ nhân tạo,0.32965097318386,0.40947687902978,0.24175889448645,0.39219695579188,0.3588451301614,0.31114014337243,0.29481153619082,0.41383828079282,0.2814959377623,0.16455419402246,0.20164521111462,1,0.37856484119269,0.46117832424018,0.28114463948024,0.27001076810342,0.2077206652686,0.32619345758111,0.32003291021068,0.2282657590598,0
